Source,Target
Grant Dawson,Darrick Minner
Brendan Allen,Tom Breese
Gabriel Silva,Kyler Phillips
Joseph Benavidez,Deiveson Figueiredo
Megan Anderson,Norma Dumont
Jordan Griffin,TJ Brown
Sean Brady,Ismail Naurdiev
Aalon Cruz,Spike Carlyle
Luis Pena,Steve Garcia
Jimmy Crute,Michal Oleksiejczuk
Paul Felder,Dan Hooker
Jalin Turner,Josh Culibao
Karolina Kowalkiewicz,Yan Xiaonan
Ben Sosoli,Marcos Rogerio de Lima
Brad Riddell,Magomed Mustafaev
Kevin Aguilar,Zubaira Tukhugov
Jake Matthews,Emil Meek
Loma Lookboonmee,Angela Hill
Kai Kara-France,Tyson Nam
Callan Potter,Song Kenan
Priscila Cachoeira,Shana Dobson
Tim Means,Daniel Rodriguez
Lando Vannata,Yancy Medeiros
Brok Weaver,Kazula Vargas
Montana De La Rosa,Mara Romero Borella
Rogerio Bontorin,Ray Borg
Diego Sanchez,Michel Pereira
Corey Anderson,Jan Blachowicz
John Dodson,Nathaniel Wood
Jim Miller,Scott Holtzman
Devin Clark,Dequan Townsend
Casey Kenney,Merab Dvalishvili
Mark De La Rosa,Raulian Paiva
Macy Chiasson,Shanna Young
Valentina Shevchenko,Katlyn Chookagian
Juan Adams,Justin Tafa
Trevin Giles,James Krause
Derrick Lewis,Ilir Latifi
Lauren Murphy,Andrea Lee
Jon Jones,Dominick Reyes
Mirsad Bektic,Dan Ige
Alex Morono,Khaos Williams
Andre Ewell,Jonathan Martinez
Domingo Pilarte,Journey Newson
Miles Johns,Mario Bautista
Austin Lingo,Youssef Zalal
Curtis Blaydes,Junior Dos Santos
Justine Kish,Lucie Pudilova
Bevon Lewis,Dequan Townsend
Jordan Espinosa,Alex Perez
Jamahal Hill,Darko Stosic
Rafael Dos Anjos,Michael Chiesa
Montel Jackson,Felipe Colares
Arnold Allen,Nik Lentz
Sara McMann,Lina Lansberg
Hannah Cifers,Angela Hill
Brett Johns,Tony Gravely
Herbert Burns,Nate Landwehr
Anthony Pettis,Diego Ferreira
Tim Elliott,Askar Askarov
Aleksei Oleinik,Maurice Greene
Holly Holm,Raquel Pennington
Conor McGregor,Donald Cerrone
Roxanne Modafferi,Maycee Barber
Andre Fili,Sodiq Yusuff
Brian Kelleher,Ode Osbourne
Drew Dober,Nasrat Haqparast
Aleksa Camur,Justin Ledet
Sabina Mazo,JJ Aldrich
Dooho Choi,Charles Jourdain
Volkan Oezdemir,Aleksandar Rakic
Frankie Edgar,Chan Sung Jung
Da-Un Jung,Mike Rodriguez
SeungWoo Choi,Suman Mokhtarian
Kyung Ho Kang,Pingyuan Liu
Ciryl Gane,Tanner Boser
Dong Hyun Ma,Omar Morales
Miranda Granger,Amanda Lemos
Alexandre Pantoja,Matt Schnell
Heili Alateng,Ryan Benoit
Junyong Park,Marc-Andre Barriault
Raoni Barcelos,Said Nurmagomedov
Geoff Neal,Mike Perry
Ian Heinisch,Omari Akhmedov
Amanda Nunes,Germaine de Randamie
Max Holloway,Alexander Volkanovski
Petr Yan,Urijah Faber
Kamaru Usman,Colby Covington
Marlon Moraes,Jose Aldo
Ketlen Vieira,Irene Aldana
Brandon Moreno,Kai Kara-France
Matt Brown,Ben Saunders
Chase Hooper,Daniel Teymur
Jessica Eye,Viviane Araujo
Punahele Soriano,Oskar Piechota
Marina Rodriguez,Cynthia Calvillo
Alistair Overeem,Jairzinho Rozenstruik
Aspen Ladd,Yana Kunitskaya
Rob Font,Ricky Simon
Cody Stamann,Song Yadong
Stefan Struve,Ben Rothwell
Thiago Alves,Tim Means
Billy Quarantillo,Jacob Kilburn
Joe Solecki,Matt Wiman
Bryce Mitchell,Matt Sayles
Virna Jandiroba,Mallory Martin
Makhmud Muradov,Trevor Smith
Sergio Moraes,James Krause
Charles Oliveira,Jared Gordon
Jan Blachowicz,Jacare Souza
Ricardo Ramos,Eduardo Garagorri
Antonio Arroyo,Andre Muniz
Mauricio Rua,Paul Craig
Markus Perez,Wellington Turman
Warlley Alves,Randy Brown
Ariane Lipski,Isabela de Padua
Douglas Silva de Andrade,Renan Barao
Vanessa Melo,Tracy Cortez
Francisco Trinaldo,Bobby Green
Alexander Volkov,Greg Hardy
Shamil Gamzatov,Klidson Abreu
Zelim Imadaev,Danny Roberts
Rustam Khabilov,Sergey Khandozhko
Khadis Ibragimov,Ed Herman
Ramazan Emeev,Anthony Rocco Martin
Zabit Magomedsharipov,Calvin Kattar
Magomed Ankalaev,Dalcha Lungiambula
Abubakar Nurmagomedov,David Zawada
Roman Kopylov,Karl Roberson
Alexander Yakovlev,Roosevelt Roberts
Jessica-Rose Clark,Pannie Kianzad
Grigory Popov,Davey Grant
Kevin Lee,Gregor Gillespie
Stephen Thompson,Vicente Luque
Jorge Masvidal,Nate Diaz
Shane Burgos,Makwan Amirkhani
Corey Anderson,Johnny Walker
Kelvin Gastelum,Darren Till
Derrick Lewis,Blagoy Ivanov
Brad Tavares,Edmen Shahbazyan
Andrei Arlovski,Jairzinho Rozenstruik
Katlyn Chookagian,Jennifer Maia
Julio Arce,Hakeem Dawodu
Lyman Good,Chance Rencountre
Ciryl Gane,Don'Tale Mayes
Michael Johnson,Stevie Ray
Enrique Barzola,Movsar Evloev
Randa Markos,Ashley Yoder
Frank Camacho,Beneil Dariush
Muslim Salikhov,Laureano Staropoli
Demian Maia,Ben Askren
Alex White,Rafael Fiziev
Maurice Greene,Sergei Pavlovich
Loma Lookboonmee,Aleksandra Albu
Raphael Pessoa,Jeff Hughes
Maycee Barber,Gillian Robertson
Greg Hardy,Ben Sosoli
Deron Winn,Darren Stewart
Molly McCann,Diana Belbita
Charles Rosa,Manny Bermudez
Joe Lauzon,Jonathan Pearce
Dominick Reyes,Chris Weidman
Yair Rodriguez,Jeremy Stephens
Randy Costa,Boston Salmon
Brendan Allen,Kevin Holland
Kyle Bochniak,Sean Woodson
Daniel Spitz,Tanner Boser
Court McGee,Sean Brady
Ryan Spann,Devin Clark
Mackenzie Dern,Amanda Ribas
Mike Davis,Thomas Gifford
Cub Swanson,Kron Gracie
Matt Frevola,Luis Pena
Eryk Anders,Gerald Meerschaert
Joanna Jedrzejczyk,Michelle Waterson
Niko Price,James Vick
Max Griffin,Alex Morono
Deiveson Figueiredo,Tim Elliott
Marlon Vera,Andre Ewell
Miguel Baeza,Hector Aldana
Marvin Vettori,Andrew Sanchez
JJ Aldrich,Lauren Mueller
Justin Tafa,Yorgan De Castro
Robert Whittaker,Israel Adesanya
Jake Matthews,Rostem Akman
Tai Tuivasa,Serghei Spivac
Brad Riddell,Jamie Mullarkey
Al Iaquinta,Dan Hooker
Callan Potter,Maki Pitolo
Luke Jumeau,Dhiego Lima
Megan Anderson,Zarah Fairn
Khalid Taha,Bruno Silva
Nadia Kassem,Ji Yeon Kim
Ion Cutelaba,Khalil Rountree Jr.
Michal Oleksiejczuk,Ovince Saint Preux
Alen Amedovski,John Phillips
Nicolas Dalby,Alex Oliveira
Gunnar Nelson,Gilbert Burns
Jack Hermansson,Jared Cannonier
Mark Madsen,Danilo Belluardo
Alessio Di Chirico,Makhmud Muradov
Siyar Bahadurzada,Ismail Naurdiev
Macy Chiasson,Lina Lansberg
Brandon Davis,Giga Chikadze
Marc Diakiese,Lando Vannata
Jack Shore,Nohelin Hernandez
Martin Bravo,Steven Peterson
Jose Quinonez,Carlos Huachin
Carla Esparza,Alexa Grasso
Ariane Carnelossi,Angela Hill
Marco Polo Reyes,Kyle Nelson
Brandon Moreno,Askar Askarov
Irene Aldana,Vanessa Melo
Yair Rodriguez,Jeremy Stephens
Vinicius Moreira,Paul Craig
Claudio Puelles,Marcos Mariano
Sijara Eubanks,Bethe Correia
Sergio Pettis,Tyson Nam
Donald Cerrone,Justin Gaethje
Misha Cirkunov,Jimmy Crute
Cole Smith,Miles Johns
Marcin Tybura,Augusto Sakai
Uriah Hall,Antonio Carlos Junior
Glover Teixeira,Nikita Krylov
Todd Duffee,Jeff Hughes
Michel Pereira,Tristan Connelly
Louis Smolka,Ryan MacDonald
Kyle Prepolec,Austin Hubbard
Chas Skelly,Jordan Griffin
Brad Katona,Hunter Azure
Zubaira Tukhugov,Lerone Murphy
Curtis Blaydes,Shamil Abdurakhimov
Liana Jojua,Sarah Moras
Islam Makhachev,Davi Ramos
Khabib Nurmagomedov,Dustin Poirier
Edson Barboza,Paul Felder
Joanne Calderwood,Andrea Lee
Mairbek Taisumov,Diego Ferreira
Ottman Azaitar,Teemu Packalen
Omari Akhmedov,Zak Cummings
Belal Muhammad,Takashi Sato
Don Madge,Fares Ziam
Nordine Taleb,Muslim Salikhov
Da-Un Jung,Khadis Ibragimov
Kai Kara-France,Mark De La Rosa
Li Jingliang,Elizeu Zaleski dos Santos
Su Mudaerji,Andre Soukhamthath
Wu Yanan,Inoue Mizuki
Jessica Andrade,Zhang Weili
Song Kenan,Derrick Krantz
Junyong Park,Anthony Hernandez
Damir Ismagulov,Thiago Moises
Karol Rosa,Lara Procopio
Heili Alateng,Batgerel Danaa
Devonte Smith,Khama Worthy
Anthony Pettis,Nate Diaz
Christos Giagos,Drakkar Klose
Yoel Romero,Paulo Costa
Raphael Assuncao,Cory Sandhagen
Gabriel Benitez,Sodiq Yusuff
Derek Brunson,Ian Heinisch
Daniel Cormier,Stipe Miocic
Kyung Ho Kang,Brandon Davis
Hannah Cifers,Jodie Esquibel
Manny Bermudez,Casey Kenney
Sabina Mazo,Shana Dobson
Eduardo Garagorri,Humberto Bandenay
Vicente Luque,Mike Perry
Gilbert Burns,Aleksei Kunchenko
Volkan Oezdemir,Ilir Latifi
Ciryl Gane,Raphael Pessoa
Enrique Barzola,Bobby Moffett
Rodolfo Vieira,Oskar Piechota
Valentina Shevchenko,Liz Carmouche
Tecia Torres,Marina Rodriguez
Rogerio Bontorin,Raulian Paiva
Geraldo de Freitas,Chris Gutierrez
